key,where_it_appears,english,hebrew_draft,arabic_draft,hebrew_yours,arabic_yours
scf_state_never,,Never inspected — do not climb,לא נבדק מעולם — אין לטפס,لم تُفحص قط — ممنوع التسلق,,
scf_last_inspected,,Last inspected,נבדק לאחרונה,آخر فحص,,
scf_next_due,,Next inspection,הבדיקה הבאה,الفحص القادم,,
scf_must_sign,,Sign before recording the inspection.,יש לחתום לפני רישום הבדיקה.,وقّع قبل تسجيل الفحص.,,
scf_unusable,,Not to be climbed,אסורים לטיפוס,ممنوع تسلقها,,
scf_all_clear,,Every scaffold on this job is in date.,כל הפיגומים באתר בתוקף.,جميع السقالات في هذا الموقع سارية.,,
lift_title,,Lifts,הרמות,عمليات الرفع,,
lift_row_hint,,"Lift plans, and what has to be right before the load leaves the ground.","תוכניות הרמה, ומה חייב להיות תקין לפני שהמטען עוזב את הקרקע.",خطط الرفع، وما يجب أن يكون سليمًا قبل أن يغادر الحمل الأرض.,,
lift_new,,Plan a lift,תכנון הרמה,تخطيط عملية رفع,,
lift_empty,,No lifts planned.,לא תוכננו הרמות.,لا عمليات رفع مخططة.,,
lift_what,,What is being lifted,מה מרימים,ما الذي يُرفع,,
lift_what_hint,,"In the words used on the radio: air handling unit, roof beam 4.","במילים שאומרים בקשר: יחידת מיזוג, קורת גג 4.",بالكلمات التي تُقال في اللاسلكي: وحدة تكييف، جسر السطح 4.,,
lift_load_weight,,Load (kg),משקל המטען (ק״ג),وزن الحمل (كغم),,
lift_rigging_weight,,Rigging (kg),משקל אביזרי ההרמה (ק״ג),وزن معدات الرفع (كغم),,
lift_rigging_hint,,"Slings, shackles, spreader beam, hook block. They hang off the same rope, and leaving them out is how a lift planned at ninety per cent turns out to have been at a hundred and four.","מנשאים, שאקלים, קורת פריסה וגוש הוו. הם תלויים על אותו כבל, והשמטתם היא הדרך שבה הרמה שתוכננה לתשעים אחוז מתבררת כמאה וארבעה.",الأحزمة والأقفال وعارضة التوزيع وكتلة الخطاف. كلها معلّقة على الحبل نفسه، وإغفالها هو ما يجعل رفعة خُطط لها عند تسعين بالمئة تتبين عند مئة وأربعة.,,
lift_gross,,On the hook,סך הכול על הוו,الإجمالي على الخطاف,,
lift_appliance,,Crane or appliance,העגורן או מכשיר ההרמה,الرافعة أو جهاز الرفع,,
lift_appliance_cert,,Its test certificate runs out,תוקף בדיקת המכשיר,تنتهي شهادة فحصه,,
lift_appliance_cert_none,,No test certificate recorded,לא נרשמה תעודת בדיקה,لم تُسجَّل شهادة فحص,,
lift_appliance_cert_needed,,This appliance needs a periodic test,מכשיר זה טעון בדיקה תקופתית,يحتاج هذا الجهاز إلى فحص دوري,,
lift_radius,,Radius (m),רדיוס (מ׳),نصف القطر (م),,
lift_capacity,,Chart capacity at that radius (kg),כושר ההרמה בטבלה ברדיוס זה (ק״ג),الحمولة من الجدول عند نصف القطر هذا (كغم),,
lift_capacity_hint,,Off the duty chart at the radius being worked. Not the crane's headline tonnage.,מתוך טבלת העומסים ברדיוס העבודה בפועל. לא הטונאז׳ הנקוב של העגורן.,من جدول الحمولات عند نصف قطر العمل الفعلي. لا الحمولة الاسمية للرافعة.,,
lift_utilisation,,of the chart,מהטבלה,من الجدول,,
lift_heavy,,Over three quarters of the chart — have somebody senior look at this.,מעל שלושה רבעים מהטבלה — שגורם בכיר יבחן זאת.,أكثر من ثلاثة أرباع الجدول — ليراجعها مسؤول أعلى.,,
lift_wind,,Wind now (km/h),רוח כעת (קמ״ש),الرياح الآن (كم/س),,
lift_wind_limit,,Wind limit (km/h),מגבלת הרוח (קמ״ש),حد الرياح (كم/س),,
lift_wind_unmeasured,,Nobody has measured the wind.,איש לא מדד את הרוח.,لم يقس أحد الرياح.,,
lift_crew,,Who is on it,מי מבצע,من ينفّذها,,
lift_role_operator,,Crane operator,מפעיל העגורן,مشغّل الرافعة,,
lift_role_slinger,,Slinger,רתָּב,المُوثِّق,,
lift_role_banksman,,Banksman,אתת,الإشاري,,
lift_crew_name,,Name,שם,الاسم,,
lift_crew_ticket,,Ticket number,מספר ההסמכה,رقم الشهادة,,
lift_crew_expires,,Ticket runs out,תוקף ההסמכה,تنتهي صلاحية الشهادة,,
lift_crew_no_expiry,,Does not expire,ללא תפוגה,بلا تاريخ انتهاء,,
lift_crew_set,,Put somebody in this role,שיבוץ לתפקיד,تعيين شخص لهذا الدور,,
lift_crew_none,,Nobody,לא שובץ איש,لا أحد,,
lift_planned_for,,Planned for,מתוכנן ל,مخطط ليوم,,
lift_approve,,Approve the lift,אישור ההרמה,اعتماد عملية الرفع,,
lift_approved_by,,Approved by,אושר על ידי,اعتمدها,,
lift_complete,,Lifted,הורם,تم الرفع,,
lift_completed,,Done,הושלם,اكتملت,,
lift_may_go,,Everything checks out.,הכול תקין.,كل شيء سليم.,,
lift_blocked,,Do not lift,אין להרים,ممنوع الرفع,,
lift_block_weight,,Nobody has said what it weighs,לא נרשם משקל המטען,لم يُسجَّل وزن الحمل,,
lift_block_capacity,,No capacity from the duty chart,לא נרשם כושר הרמה מהטבלה,لم تُسجَّل الحمولة من الجدول,,
lift_block_overloaded,,Over the chart,מעל הטבלה,فوق الجدول,,
lift_block_operator,,No crane operator,אין מפעיל עגורן,لا مشغّل رافعة,,
lift_block_slinger,,No slinger,אין רתָּב,لا مُوثِّق,,
lift_block_banksman,,No banksman,אין אתת,لا إشاري,,
lift_block_ticket,,Somebody's ticket has run out,פג תוקף הסמכה של אחד המבצעים,انتهت صلاحية شهادة أحد المنفذين,,
lift_block_appliance,,The appliance's test certificate is not in date,תעודת הבדיקה של המכשיר אינה בתוקף,شهادة فحص الجهاز غير سارية,,
lift_block_wind,,Too windy,רוח חזקה מדי,الرياح شديدة جدًا,,
lift_block_approval,,Nobody has approved it,איש לא אישר את ההרמה,لم يعتمدها أحد,,
tw_title,,Temporary works,עבודות זמניות,الأعمال المؤقتة,,
tw_row_hint,,"Propping and formwork: what may take load, and what may come down.","תמיכות ותבניות: מה מותר להעמיס, ומה מותר לפרק.",الدعائم والقوالب: ما يجوز تحميله، وما يجوز فكّه.,,
tw_new,,Add temporary works,הוספת עבודה זמנית,إضافة عمل مؤقت,,
tw_empty,,Nothing on the register.,אין דבר בפנקס.,لا شيء في السجل.,,
tw_what,,What it is,מה זה,ما هو,,
tw_what_hint,,Props to the level 3 slab; façade retention to the north wall.,תמיכות לתקרת קומה 3; תמיכת חזית לקיר הצפוני.,دعائم لسقف الطابق الثالث؛ تدعيم الواجهة للجدار الشمالي.,,
tw_kind,,Kind,סוג,النوع,,
tw_kind_propping,,Propping,תמיכות,دعائم,,
tw_kind_formwork,,Formwork,תבניות,قوالب,,
tw_kind_shoring,,Shoring,דיפון,تدعيم حفر,,
tw_kind_facade,,Façade retention,תמיכת חזית,تدعيم الواجهة,,
tw_kind_edge,,Edge protection,מעקות בטיחות,حماية الحواف,,
tw_kind_other,,Something else,אחר,غير ذلك,,
tw_category,,How hard it has to be checked,רמת הבדיקה הנדרשת,مستوى الفحص المطلوب,,
tw_category_0,,"Standard solution, used within its limits","פתרון סטנדרטי, בתוך מגבלותיו",حل قياسي، ضمن حدوده,,
tw_category_1,,"Simple design, checked inside the team","תכנון פשוט, נבדק בתוך הצוות",تصميم بسيط، يُفحص داخل الفريق,,
tw_category_2,,Checked by somebody outside the design,נבדק על ידי מי שאינו מהמתכננים,يفحصه شخص من خارج فريق التصميم,,
tw_category_3,,Checked by an independent organisation,נבדק על ידי גורם עצמאי,تفحصه جهة مستقلة,,
tw_design_ref,,Drawing or calculation,מספר תוכנית או חישוב,رقم المخطط أو الحساب,,
tw_designer,,Designed by,תוכנן על ידי,صمّمه,,
tw_checker,,Checked by,נבדק על ידי,فحصه,,
tw_mark_checked,,Record the check,רישום הבדיקה,تسجيل الفحص,,
tw_mark_erected,,It is built,הוקם,تم تركيبه,,
tw_mark_inspected,,Built as drawn,נבנה לפי התוכנית,نُفّذ حسب المخطط,,
tw_mark_inspected_hint,,"Somebody has held the drawing up against what is standing there. This is a separate act from building it, because the commonest failure is a good design built differently.","מישהו השווה את התוכנית למה שעומד בפועל. זו פעולה נפרדת מההקמה, משום שהכשל הנפוץ ביותר הוא תכנון טוב שבוצע אחרת.",قارن أحدهم المخطط بما هو قائم فعلًا. هذا فعل منفصل عن التركيب، لأن الإخفاق الأكثر شيوعًا هو تصميم جيد نُفّذ بشكل مختلف.,,
tw_mark_loaded,,It is carrying load,נושא עומס,يحمل الحمولة,,
tw_release,,Release it for striking,אישור לפירוק,الإذن بالفك,,
tw_release_hint,,The decision that drops slabs. It is recorded with a name because afterwards the question is always who released it.,"ההחלטה שמפילה תקרות. היא נרשמת עם שם, משום שבדיעבד השאלה תמיד היא מי אישר.",القرار الذي يُسقط الأسقف. يُسجَّل باسم، لأن السؤال لاحقًا هو دائمًا من أذن به.,,
tw_released_by,,Released by,אושר על ידי,أذن به,,
tw_mark_struck,,Struck,פורק,فُكّ,,
tw_struck,,Taken down,מפורק,مفكوك,,
tw_supports_pour,,Holding up a pour,תומך ביציקה,يدعم صبّة,,
tw_supports_pour_none,,Not holding up concrete,אינו תומך בבטון,لا يدعم خرسانة,,
tw_striking_days,,Days before it may be struck,ימים עד שמותר לפרק,الأيام قبل السماح بالفك,,
tw_striking_days_hint,,"The engineer's number, off the design. The app defaults to fourteen because that errs towards leaving props in; it does not work the figure out and it is not a judgement about the concrete.","המספר של המהנדס, מתוך התכנון. ברירת המחדל של האפליקציה היא ארבעה עשר משום שהיא נוטה להשארת התמיכות; היא אינה מחשבת את המספר ואינה מחווה דעה על הבטון.",رقم المهندس، من التصميم. القيمة الافتراضية في التطبيق أربعة عشر لأنها تميل إلى إبقاء الدعائم؛ التطبيق لا يحسب الرقم ولا يبدي رأيًا في الخرسانة.,,
tw_may_load,,It may take load.,מותר להעמיס.,يجوز تحميله.,,
tw_may_not_load,,Do not load it,אין להעמיס,ممنوع التحميل,,
tw_may_strike,,It may come down.,מותר לפרק.,يجوز فكّه.,,
tw_may_not_strike,,Do not strike it,אין לפרק,ممنوع الفك,,
tw_block_no_design,,No design on record,לא נרשם תכנון,لا تصميم مسجّل,,
tw_block_not_checked,,The design has not been checked,התכנון לא נבדק,لم يُفحص التصميم,,
tw_block_not_independent,,At this level the designer cannot check his own work,ברמה זו המתכנן אינו יכול לבדוק את עצמו,في هذا المستوى لا يجوز للمصمم أن يفحص عمله,,
tw_block_not_erected,,It has not been built,טרם הוקם,لم يُركّب بعد,,
tw_block_not_inspected,,Nobody has checked it was built as drawn,איש לא בדק שהביצוע תואם לתוכנית,لم يتحقق أحد من مطابقته للمخطط,,
tw_block_struck,,It has already been taken down,כבר פורק,سبق أن فُكّ,,
tw_block_already_struck,,Already struck,כבר פורק,فُكّ بالفعل,,
tw_block_too_young,,The concrete has not had its days,הבטון טרם השלים את הימים,لم تستوفِ الخرسانة أيامها,,
tw_block_not_released,,Nobody has released it,איש לא אישר לפירוק,لم يأذن أحد بالفك,,
exc_title,,Excavations,חפירות,الحفريات,,
exc_row_hint,,"Trenches: what is buried there, and who may go in today.","תעלות: מה טמון שם, ומי מורשה להיכנס היום.",الخنادق: ما المدفون هناك، ومن يجوز له النزول اليوم.,,
exc_new,,Add an excavation,הוספת חפירה,إضافة حفرية,,
exc_empty,,No excavations on the register.,אין חפירות בפנקס.,لا حفريات في السجل.,,
exc_location,,Where it is,מיקום,الموقع,,
exc_location_hint,,"In the words used on the radio: along the north boundary, grid B4.","במילים שאומרים בקשר: לאורך הגבול הצפוני, משבצת B4.",بالكلمات التي تُقال في اللاسلكي: على طول الحد الشمالي، المربع B4.,,
exc_depth,,How deep (m),עומק (מ׳),العمق (م),,
exc_depth_hint,,"At one metre twenty the sides have to be held back somehow. Ground collapses at less than that too — this is the depth below which nobody is required to have decided, not the depth below which nothing can happen.","במטר ועשרים יש להחזיק את הדפנות באופן כלשהו. קרקע קורסת גם בפחות מכך — זהו העומק שמתחתיו אין חובה להחליט, לא העומק שמתחתיו לא יקרה דבר.",عند متر وعشرين يجب تثبيت الجوانب بطريقة ما. التربة تنهار عند أقل من ذلك أيضًا — هذا هو العمق الذي لا يُلزم أحدًا بالقرار دونه، لا العمق الذي لا يحدث شيء دونه.,,
exc_support,,How the sides are held,כיצד מוחזקות הדפנות,كيف تُثبَّت الجوانب,,
exc_support_none,,Nothing,ללא,بدون,,
exc_support_battered,,Cut back,שיפוע,ميلان,,
exc_support_shored,,Boxes or props,דיפון,صناديق أو دعائم,,
exc_support_piled,,Sheet piles,כלונסאות,خوازيق,,
exc_services,,What is buried here,מה טמון כאן,ما المدفون هنا,,
exc_services_record,,Record what is buried here,רישום התשתיות הטמונות,تسجيل ما هو مدفون هنا,,
exc_services_hint,,"Drawings from the utility, a cable scan, trial holes. The one thing on this screen that cannot be put right afterwards: a trench cut too steep can be battered back, but a cable that has been cut has been cut.","תוכניות מחברת התשתית, סריקת כבלים, בורות בדיקה. הדבר היחיד במסך הזה שאי אפשר לתקן בדיעבד: תעלה תלולה מדי אפשר להשכיב, אבל כבל שנחתך — נחתך.",مخططات من شركة البنية التحتية، مسح الكابلات، حفر اختبارية. الأمر الوحيد في هذه الشاشة الذي لا يمكن إصلاحه لاحقًا: الخندق شديد الانحدار يمكن تمييله، أما الكابل المقطوع فقد قُطع.,,
exc_services_none,,Nobody has looked,איש לא בדק,لم يتحقق أحد,,
exc_services_by,,Located by,אותר על ידי,حدّده,,
exc_inspect,,Inspect it,בדיקה,فحصها,,
exc_inspections,,Inspections,בדיקות,الفحوصات,,
exc_no_inspections,,Nothing recorded yet.,עדיין לא נרשם דבר.,لم يُسجَّل شيء بعد.,,
exc_passed,,Safe to enter,מותר להיכנס,آمنة للدخول,,
exc_failed,,Not safe — nobody in,לא בטוח — אין להיכנס,غير آمنة — ممنوع الدخول,,
exc_defects,,What is wrong,מה הליקוי,ما هو العطل,,
exc_action,,What was done about it,מה נעשה בעניין,ما الذي جرى بشأنه,,
exc_must_sign,,Sign before recording the inspection.,יש לחתום לפני רישום הבדיקה.,وقّع قبل تسجيل الفحص.,,
exc_disturbed,,Something has changed it,משהו שינה אותה,طرأ عليها تغيير,,
exc_disturbed_hint,,"Rain, a collapse, vibration, a load put near the edge. It comes out of use until somebody has looked again.","גשם, מפולת, רעידות, עומס שהונח סמוך לשפה. יוצאת מכלל שימוש עד לבדיקה חוזרת.",مطر، انهيار، اهتزازات، حمل وُضع قرب الحافة. تخرج من الخدمة حتى يعاود أحد فحصها.,,
exc_backfill,,Filled in,הוחזרה,رُدمت,,
exc_backfilled,,Backfilled,מוחזרת,مردومة,,
exc_may_enter,,Safe to enter.,מותר להיכנס.,يجوز الدخول.,,
exc_may_not_enter,,Nobody goes in,אין להיכנס,ممنوع الدخول,,
exc_block_services,,Nobody has found out what is buried here,איש לא בירר מה טמון כאן,لم يتحقق أحد مما هو مدفون هنا,,
exc_block_support,,"Deep enough to need the sides held, and nothing is holding them","עמוקה דיה כדי לחייב החזקת דפנות, ואין דבר שמחזיק אותן",عميقة بما يكفي لتتطلب تثبيت الجوانب، ولا شيء يثبّتها,,
exc_block_never,,Never inspected,לא נבדקה מעולם,لم تُفحص قط,,
exc_block_today,,Not inspected today,לא נבדקה היום,لم تُفحص اليوم,,
exc_block_failed,,The last inspection failed,הבדיקה האחרונה נכשלה,الفحص الأخير لم ينجح,,
exc_block_disturbed,,Something has changed it since the last inspection,משהו שינה אותה מאז הבדיקה האחרונה,طرأ عليها تغيير منذ الفحص الأخير,,
exc_block_backfilled,,It has been filled in,הוחזרה,رُدمت,,
ptw_work_stopped,,The work has stopped,העבודה הופסקה,توقف العمل,,
ptw_fire_watch,,Fire watch,שמירת אש,مراقبة الحريق,,
ptw_fire_watch_hint,,"Hot work fires mostly start after the torch goes out, from a spark that fell into a void an hour ago and has been smouldering since. Somebody stays and watches; the permit cannot be signed back until they have.","שריפות בעבודה חמה מתחילות בדרך כלל אחרי כיבוי הלהבה, מניצוץ שנפל לחלל לפני שעה והתעמעם שם. מישהו נשאר ומשגיח; אי אפשר להחזיר את ההיתר עד שהשמירה הושלמה.",حرائق الأعمال الساخنة تبدأ غالبًا بعد إطفاء اللهب، من شرارة سقطت في فراغ قبل ساعة وظلت تتّقد. يبقى شخص للمراقبة؛ ولا يمكن إغلاق التصريح قبل انقضاء المدة.,,
pay_title,,Payment applications,חשבונות,طلبات الدفع,,
pay_row_hint,,"What has been claimed, what was agreed, and when the money is due.","מה נדרש, מה אושר, ומתי הכסף אמור להגיע.",ما طُولب به، وما تمت الموافقة عليه، ومتى يُستحق المال.,,
pay_new,,Raise an application,פתיחת חשבון,فتح طلب دفع,,
pay_empty,,No applications on this job.,אין חשבונות בפרויקט זה.,لا طلبات دفع في هذا المشروع.,,
pay_direction,,Which way the money goes,כיוון התשלום,اتجاه الدفع,,
pay_receivable,,We are claiming,אנחנו דורשים,نحن نطالب,,
pay_payable,,A subcontractor is claiming,קבלן משנה דורש,مقاول من الباطن يطالب,,
pay_party,,From whom,ממי,من مَن,,
pay_number,,Application number,מספר חשבון,رقم الطلب,,
pay_claimed,,"Claimed, for all work to date","נדרש, עבור כל העבודה עד כה",المطالَب به، عن كل العمل حتى تاريخه,,
pay_claimed_hint,,"The total the work is worth at this point in the job, not what was done this month. That is how applications are written, and paying the figure on the face of each one in turn pays for the same work twice.","הסכום הכולל ששווה העבודה בנקודה זו בפרויקט, לא מה שבוצע החודש. כך נכתבים חשבונות, ותשלום הסכום הנקוב בכל חשבון בנפרד משלם פעמיים על אותה עבודה.",المبلغ الإجمالي لقيمة العمل عند هذه النقطة من المشروع، لا ما أُنجز هذا الشهر. هكذا تُكتب طلبات الدفع، ودفع الرقم الظاهر على كل طلب على حدة يدفع مرتين عن العمل نفسه.,,
pay_certified,,"Agreed, for all work to date","אושר, עבור כל העבודה עד כה",المعتمَد، عن كل العمل حتى تاريخه,,
pay_previously_paid,,Already paid,שולם עד כה,دُفع حتى الآن,,
pay_retention,,Retention held,עיכבון,المحتجَز,,
pay_retention_rate,,Retention,שיעור עיכבון,نسبة الاحتجاز,,
pay_retention_capped,,At the limit of retention,הגיע לתקרת העיכבון,بلغ سقف الاحتجاز,,
pay_net,,Net to date,נטו עד כה,الصافي حتى تاريخه,,
pay_due_now,,Due this time,לתשלום הפעם,المستحق هذه المرة,,
pay_due_back,,Owed back,להחזר,واجب الإرجاع,,
pay_due_back_hint,,"The applications before this one certified more than the work turned out to be worth. It has to come back one way or another, so the screen says so rather than showing nothing.","בחשבונות הקודמים אושר יותר משהעבודה שווה בפועל. ההפרש חייב לחזור כך או אחרת, ולכן המסך אומר זאת במפורש ולא מציג אפס.",الطلبات السابقة اعتمدت أكثر مما تبيّن أن العمل يستحقه. يجب أن يعود الفرق بطريقة ما، لذا تقول الشاشة ذلك بدل إظهار صفر.,,
pay_terms,,Payment terms,תנאי תשלום,شروط الدفع,,
pay_terms_hint,,"Shotef plus counts from the end of the month the invoice falls in, not from the invoice date. An invoice on the 3rd of March under shotef+30 is due on the 30th of April.","שוטף פלוס נספר מסוף החודש שבו הוצאה החשבונית, לא מתאריך החשבונית. חשבונית מ־3 במרץ בשוטף+30 תשולם ב־30 באפריל.",شوطيف زائد يُحسب من نهاية الشهر الذي صدرت فيه الفاتورة، لا من تاريخ الفاتورة. فاتورة بتاريخ 3 مارس بشوطيف+30 تُستحق في 30 أبريل.,,
pay_terms_immediate,,On presentation,מיידי,عند التقديم,,
pay_terms_30,,Shotef + 30,שוטף + 30,شوطيف + 30,,
pay_terms_60,,Shotef + 60,שוטף + 60,شوطيف + 60,,
pay_terms_90,,Shotef + 90,שוטף + 90,شوطيف + 90,,
pay_terms_120,,Shotef + 120,שוטף + 120,شوطيف + 120,,
pay_due_on,,Due on,תאריך תשלום,تاريخ الاستحقاق,,
pay_submit,,Send it,שליחה,إرسال,,
pay_certify,,Agree a figure,אישור סכום,اعتماد مبلغ,,
pay_certify_hint,,"What is actually agreed, which need not be what was claimed. The difference between the two is the conversation, so both are kept.","מה שאושר בפועל, שאינו חייב להיות מה שנדרש. הפער בין השניים הוא הדיון עצמו, ולכן שניהם נשמרים.",ما تمت الموافقة عليه فعلًا، وليس بالضرورة ما طُولب به. الفارق بينهما هو النقاش نفسه، لذا يُحفظ الاثنان.,,
pay_mark_paid,,The money has arrived,הכסף התקבל,وصل المال,,
pay_reject,,Reject it,דחייה,رفض,,
pay_status_draft,,Being prepared,בהכנה,قيد الإعداد,,
pay_status_submitted,,Waiting to be assessed,ממתין לאישור,بانتظار التقييم,,
pay_status_certified,,"Agreed, not yet paid","אושר, טרם שולם",معتمد، لم يُدفع بعد,,
pay_status_paid,,Paid,שולם,مدفوع,,
pay_status_rejected,,Rejected,נדחה,مرفوض,,
pay_release_completion,,Released at practical completion,ישוחרר במסירה,يُفرج عنه عند التسليم,,
pay_release_defects,,Released when the defects period ends,ישוחרר בתום תקופת הבדק,يُفرج عنه عند انتهاء فترة الضمان,,
ts_title,,Timesheet,דוח שעות,سجل الساعات,,
ts_row_hint,,"Hours clocked on this job, and what they came to.","השעות שנרשמו בפרויקט, וכמה הן עולות.",الساعات المسجّلة في هذا المشروع، وكم تكلّف.,,
ts_empty,,Nobody has clocked any hours on this job.,לא נרשמו שעות בפרויקט זה.,لم يسجّل أحد ساعات في هذا المشروع.,,
ts_empty_hint,,Hours appear here once somebody has clocked out of a shift.,שעות מופיעות כאן לאחר החתמת יציאה ממשמרת.,تظهر الساعات هنا بعد تسجيل الخروج من وردية.,,
ts_by_person,,By person,לפי עובד,حسب العامل,,
ts_by_day,,By day,לפי יום,حسب اليوم,,
ts_hours,,hours,שעות,ساعة,,
ts_rest_day,,Day of rest,יום מנוחה,يوم راحة,,
ts_from_hours,,From the hours clocked,מהשעות שנרשמו,من الساعات المسجّلة,,
ts_from_costs,,From labour cost lines,משורות עלות עבודה,من بنود تكلفة العمل,,
ts_disagree,,"These two do not agree. They are two accounts of the same money, so the app keeps them apart rather than adding them — the gap is either hours nobody costed or a cost line nobody worked.","השניים אינם תואמים. אלה שני תיעודים של אותו כסף, ולכן האפליקציה מפרידה ביניהם ואינה מחברת אותם — הפער הוא או שעות שלא תומחרו או שורת עלות שאיש לא עבד.",الرقمان غير متطابقين. هذان سجلّان للمال نفسه، لذا يفصل بينهما التطبيق ولا يجمعهما — والفارق إما ساعات لم تُسعَّر أو بند تكلفة لم يعمله أحد.,,
ts_unpriced,,Some days have no hourly rate against them and are not counted.,לימים מסוימים לא נרשם תעריף שעתי והם אינם נספרים.,بعض الأيام بلا أجر بالساعة ولا تُحتسب.,,
ts_no_rate,,No rate recorded,לא נרשם תעריף,لم يُسجَّل أجر,,
ts_partial,,"Part of these hours has no rate, so this figure is short.","לחלק מהשעות אין תעריף, ולכן הסכום חלקי.",جزء من هذه الساعات بلا أجر، لذا هذا المبلغ ناقص.,,
hv_title,,Handover,מסירה,التسليم,,
hv_row_hint,,"What is still open across the whole job, and the pack to hand over.","מה עדיין פתוח בכל הפרויקט, והתיק למסירה.",ما زال مفتوحًا في المشروع كله، والملف الذي يُسلَّم.,,
hv_complete,,Nothing outstanding,אין פתוחים,لا يوجد ما هو معلّق,,
hv_complete_hint,,Every register on this job is clear. The pack can go out as a final one.,כל הפנקסים בפרויקט נקיים. אפשר להוציא את התיק כסופי.,جميع السجلات في هذا المشروع خالية. يمكن إصدار الملف كنهائي.,,
hv_interim,,Interim — things are still open,ביניים — יש דברים פתוחים,مرحلي — ما زالت أمور مفتوحة,,
hv_interim_hint,,"The pack still prints, because an interim one is a real thing — a client asks for the file at the end of a phase, or a subcontractor leaves and wants their part of it. It records what was outstanding at the moment it was produced, so it reads as interim rather than looking final.","התיק עדיין מופק, משום שתיק ביניים הוא דבר אמיתי — לקוח מבקש את התיק בתום שלב, או שקבלן משנה עוזב ורוצה את חלקו. התיק מתעד מה היה פתוח ברגע ההפקה, כך שהוא נקרא כתיק ביניים ולא נראה סופי.",يُطبع الملف رغم ذلك، لأن الملف المرحلي أمر واقعي — يطلب العميل الملف في نهاية مرحلة، أو يغادر مقاول من الباطن ويريد نصيبه منه. يسجّل الملف ما كان معلّقًا لحظة إصداره، فيُقرأ كملف مرحلي لا كنهائي.,,
hv_outstanding,,Still open,עדיין פתוח,ما زال مفتوحًا,,
hv_produced_on,,Produced,הופק,أُصدر,,
hv_export,,Produce the pack,הפקת התיק,إصدار الملف,,
hv_blocking_snags,,Defects holding up handover,ליקויים המעכבים מסירה,عيوب تؤخّر التسليم,,
hv_open_permits,,Permits never signed back,היתרים שלא הוחזרו,تصاريح لم تُغلق,,
hv_scaffolds,,Scaffolds still standing,פיגומים שטרם פורקו,سقالات ما زالت قائمة,,
hv_temporary_works,,Propping not yet struck,תמיכות שטרם פורקו,دعائم لم تُفكّ بعد,,
hv_excavations,,Trenches not backfilled,תעלות שלא הוחזרו,خنادق لم تُردم,,
hv_lifts,,Lifts never marked done,הרמות שלא סומנו כהושלמו,عمليات رفع لم تُعلَّم كمنتهية,,
hv_pours,,Pours never finished,יציקות שלא נסגרו,صبّات لم تُنهَ,,
hv_daily_logs,,Daily logs never signed,יומני עבודה שלא נחתמו,يوميات عمل لم تُوقَّع,,
about_flag,Alt text for the flag in the settings footer,Flag of Israel,דגל ישראל,علم إسرائيل,,
about_edition,Under the app name in the settings footer,"Israel edition — built to Israeli standards, terms and site rules","מהדורת ישראל — לפי התקנים, תנאי התשלום ונהלי האתר הישראליים",إصدار إسرائيل — وفق المواصفات وشروط الدفع وأنظمة المواقع الإسرائيلية,,
wp_title,,Work packages,חבילות עבודה,حزم العمل,,
wp_empty,,No work packages on this job yet,אין עדיין חבילות עבודה בעבודה הזו,لا توجد حزم عمل في هذا المشروع بعد,,
wp_new,,New work package,חבילת עבודה חדשה,حزمة عمل جديدة,,
wp_given,,Given out,נמסר,مُسند لغيرنا,,
wp_taken,,Taken on,התקבל,مُسند إلينا,,
wp_amount,,Agreed amount,סכום מוסכם,المبلغ المتفق عليه,,
wp_stage,,Stage,שלב,المرحلة,,
wp_scope,,Scope of work,תחום עבודה,نطاق العمل,,
wp_location,,Where,היכן,المكان,,
wp_accept,,Accept,קבלה,قبول,,
wp_decline,,Decline,דחייה,رفض المهمة,,
wp_start,,Start work,התחלת עבודה,بدء العمل,,
wp_submit,,Submit for inspection,הגשה לבדיקה,تقديم للفحص,,
wp_approve,,Approve,אישור,اعتماد,,
wp_reject,,Send back,החזרה לתיקון,إرجاع للتصحيح,,
wp_reject_reason,,What needs correcting,מה צריך לתקן,ما الذي يجب تصحيحه,,
wp_reject_hint,,A crew sent back with no reason has nothing to fix.,צוות שמוחזר בלי סיבה לא יודע מה לתקן.,الطاقم الذي يُرجع بدون سبب لا يعرف ما الذي يصلحه.,,
wp_rejected_because,,Sent back:,הוחזר:,أُرجع:,,
wp_need_photo,,Add a photograph before submitting,יש לצרף תמונה לפני הגשה,أضف صورة قبل التقديم,,
wp_need_photo_hint,,"Approval happens in an office days later, by which time the wall is plastered.","האישור נעשה במשרד ימים אחר כך, כשהקיר כבר מטויח.",الاعتماد يتم في المكتب بعد أيام، وعندها يكون الحيط قد لُيّس.,,
wp_invoice,,Raise the application,הגשת חשבון,رفع مطالبة مالية,,
wp_approved_not_paid,,Approved. Not paid — the application still has to run its terms.,אושר. לא שולם — החשבון עדיין כפוף לתנאי התשלום.,مُعتمد. غير مدفوع — المطالبة ما زالت خاضعة لشروط الدفع.,,
wp_status_draft,,Draft,טיוטה,مسودة,,
wp_status_offered,,Offered,הוצע,مُقترح,,
wp_status_accepted,,Accepted,התקבל,مقبول,,
wp_status_declined,,Declined,נדחה,مرفوض,,
wp_status_progress,,In progress,בעבודה,قيد التنفيذ,,
wp_status_submitted,,Awaiting inspection,ממתין לבדיקה,بانتظار الفحص,,
